Review,Rating
"These shorts are very sheer and lightweight, but the materials are super cheap. I think one little snag would trash these shorts. They are also bigger than expected.",1.0
Sent back. Poor quality.,1.0
"I bought this dress because i saw it in stores when it first came to retailer. it was stunning. the colors were vivid and the beading was intricate. i regretted not purchasing it immediately. 


fast forward to today... the dress i received was not the one that was originally in stores. the fabric was different, there was hardly any beading, and the colors were washed out and dull. 

i read previous reviews saying that the dress was more like the studio pictures than the original promo. but t",1.0
After playing one tournament the pants already have holes in the knees,1.0
Too tight and the material felt cheap,1.0
"Super cheaply made. Prob good for a week. But I'm returning, I just got it yesterday and I don't want it.",1.0
Fits very loosely sweater has no shape.,1.0
I thought it would be heavier than it is. it's thin and more delicate than what i would expect for a winter sweater (it contains wool so not really suitable for spring/summer). it's also shorter than it appears on the model and a little wider/boxier too.,1.0
"Looks great on the model, but in actuality there is way too much fabric; what should be flowy and billowy looks like a tent (or a maternity top on a petite woman). it didn't matter which size, they all fit me disastrously. i love the look and i thought of keeping it and having it taken in, but there's too much fabric under the chest to make it an easy cut/alteration on the side seams. sometimes i wonder who comes up with these patterns, and if they pin the shirts back on the models. if you put a",1.0
"Unusual size shrinks fast not happy considering I bought over 26 Hanes shirts ,off this vender bad quality",1.0
"I loved what this shirt looked like online.  Used the sizing chart to order the shirt that would fit my bust size.  It took a while for it to arrive and when I went to try it on, I couldn't even get it on.  I was very disappointed.",1.0
"It seemed to stay in place and did not require constant readjustment. however, i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.",1.0
"Very disappointed in these jeans as they are NOT true to size at all, way to small.",1.0
"As I sit here in a very baggy 3xtall t shirt typing this, I can tell you the sizing is laughable. I ordered 3 of these by the way so it's not like it was a mislabeled item. I ordered 4xtall so I could have a very baggy outside shirt. I had to re read the tag after trying to put this on. I have 2xtall shirts that fit better. This was worse than spandex. I took this off and put on a 2x shirt I have which was snug and wearable but no where near this.  These aren't long (if you order tall) and the 4 xtall actually fit my 6 foot tall 185 lb son like a slightly loose shirt.Like I said, if it was just one I'd assume it was a bad one but thats not the case.",1.0
May not be authentic Levi’s. I have several from actual Levi’s outlet stores and those hold up pretty well! No shrinkage at all. Buyer beware!!,1.0
Ordered larger than size and still did not fit. Would not recommend.,1.0
You get what you pay for and I thought I paid enough. Material not like  picture or as advertised. Shrunk even after following washing instructions.,1.0
"The material is so thin that after wearing the jeans one time, the material above the belt loops was curling.",1.0
"The fit is so bad and the construction is very poor. i'm 5'1'', 100 lbs, ordered xxs petite. 

first of all, when i button this, there is extreme gaping going on. the vest runs narrow, yet tall?it shifts up my torso if i move at all, making the gaping even worse.

the ""skirt"" at the bottom is made of a very cheap, thin, slightly sheeny material that you would find at a flea market. it arrived unbelievably wrinkled and crumpled, and it was just so thin. it did not meet as closely in the middl",1.0
Within 30 minutes of wear around the house noticed multiple holes in the fabric. Very lightweight.,1.0
"This is like paint on the chest. It’s so unbelievably tight you can’t lift your arms up. For reference I’m 5’5 120 so i ordered my regular size a small and it was so tight I have to return, I also really don’t like the elastic waist line it looks so cheap in person",1.0
So disappointed! beautiful dress in the photographs but the cut was incredibly strange. loose and baggy through the top and mid-section but tight around the buttock and thighs.,1.0
low quaity and cheap looking,1.0
There was a tissue with makeup on it in the pocket!,1.0
Please don’t waste your money. ☹️,1.0
"This dress fit nicely, but armholes were a little too big,  I did not have time to return this item, we were going on vacation,  so I wore a cami underneath.  After washing it,and NOT drying it in dryer,  it shrunk quite a bit and the armholes were worse, out of shape and too gaping, where if worn with a cami underneath it looked very unattractive.  I would not purchase this type item again.",1.0
"Bummer, i loved the lacy bell arms and everything about the look of this sweater but it is huge in the abdomen. seriously looks maternity to me. the neck is also too wide. the quality of the material is very nice and the weight is nice and heavy but the cut just didn't work on me. i returned this one.",1.0
"I really loved the way this shirt looked on me. it's forgiving and flattering, and really lightweight. the fabric, however, couldn't even withstand half a day's wear without snagging 3 times and developing a hole right in the center. i have no idea how this happened, as i wasn't wearing or near anything that could have pulled at it. 

such a shame. this could have been a staple wardrobe piece for me.",1.0
"This is literally the most unflattering thing i have ever tried on from retailer. the sleeves are so weird and ugly. they get really fat at the top, like a dolman sleeve, but it looks really strange because they don?t flow into the rest of the top, which is very structured. it made my shoulders look huge even though i have very narrow shoulders. this is not apparent in the model picture at all. the thick black seams at the shoulders are also placed in a really awkward spot which also contri",1.0
Jacket was missing velcro strip on one of the sleeves at the wrist.  Past warranty when we noticed.  I literally had to go purchase velcro to add a strip.,1.0
"I ordered XL, couldn't get them past my thighs. Daughter who is a size 3 could wear them. Was very disappointed.",1.0
Size was too small,1.0
"Well made, however when I received the product, it appeared to be 6/7 rather than a 10/12..",1.0
"I own two poodles and love anything poodle print. i was estatic to see this and i snagged it on sale. but it is horrible. the fit is like wearing a pillowcase. it was about 5 inches too wide on each side while the arms fit. it looked like it was attempting to have a dolman shape but it was way too short, wide, and wrong. i was in love with the print however i had to return it.",1.0
Looks nothing like the picture. Color is yucky baby blueish. Material feels cheap. Returning it immediately.,1.0
"Not “cream”, had a pink tint",1.0
"I could’ve purchased a better suit, compared to how much it cost me to get it tailored for prom.",1.0
"product is flimsy and feels cheaply made, may last a year",1.0
"Had to return this item it was 2 size too big, had to go back to see if it was a Big and Tall size but didn't see that in the description. Was no hassle returning and enjoyed being able to drop my return off at Khol's.",1.0
Disliked very much. Got rid of it,1.0
"I usually wear a size xs or s in retailer tops, ordered this top in an s and it was so wide on the sides and huge it fit like a tent.  not even remotely flattering.  i thought about ordering it in an xs, however, i could tell the xs was still going to have way too much fabric.  back it goes.",1.0
After washing in cold it’s a medium.,1.0
I had intended to wear it. I am oddly without said sweater. The carriers are not reliable. Don't think I will be ordering in the future. Had to give something I have never laid eyes on a review. Don't even know what it feels like.,1.0
This was a very different material than I expected. I was hoping for more of a business type material I could wear for work. Instead it was like a workout material/jacket. Did not work for what I needed. Had to return.,1.0
"This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also, the color was not as vibrant as shown in the picture. this sweater will be going back.",1.0
"Look good in picture!  NOT denim material, spandex!",1.0
"I read the other review that said the shirt was boxy, i didn't think it would be a terribly big deal. unfortunately, it is. normally i wear a size s, so i sized down o an xs. the shirt fits in the sleeves and neckline, but the shirt is still very box and now super short. unfortunately, this is going back. not a good fit. adorable details but the fit is terrible.",1.0
"The arms were short and narrow and the body was long and wife. Awful fit, I ended up returning. Sewn by an amateur.",1.0
"Nautica Boys' 4-Piece Vest Set with Dress Shirt, Bow Tie, Vest, and Pants. But there was no bow tie which was one reason we order this set.",1.0
Does not fit! Want to return,1.0
"I was not impressed with the shorts. They ended up being huge. Also, the black ran onto my other clothes in the wash even though I washed on cold gentle.",1.0
The material looks like polyester and the fit runs very small,1.0
This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,1.0
"I ordered this dress based on reviews and photos. It did not do a thing for me. It looked like a tent. When I tried it on, I felt like I should be baking bread in a log cabin on the prairie. I ordered my true size. I think if I sized down, it would be too little in the sleeves. Oh well. Return!",1.0
Pockets too far back. It is not true to size; tight through shoulders/back. returning it.,1.0
"The sleeves and pants were too long by a foot, but the waist on the pants, vest, & jacket were tiny. I ordered XXL but got Small size in waist 4xl in length.",1.0
Love the softness and the length. the color was perfect. but you have be be a very skinny almost boney person for you to not show imperfections to your body. the fabric is not thick enough and does not have the give to over shadow normal imperfections. will be returning the sweater.,1.0
Built in underwear are too long for the shorts looks and feels Rediculious how embarrassing these look,1.0
don't buy,1.0
This product is definitely not worth the money. I was so disappointed by the quality of the dress.,1.0
"If you’re petite the size are big my waist size is a 27 but seems like the 27 I got is actually 28-30 and my thighs do fit it, my old Levi’s are 27 and the size definitely don’t match",1.0
Loose threads everywhere,1.0
This is more of an undershirt than a shirt. the material is very very thin and it shows everything. it was beyond unflattering on me. don't buy this unless you have a knockout thin body.,1.0
flimsy material and sewing….,1.0
They are nice jeans but when I stretch or bend my knees they rip into a bigger hole . This is just my experience with them,1.0
Was super disappointed that it came with pink stains.,1.0
Super see through. The fabric clings to everything and amplifies the stuff I would normally not expect a dress to show.,1.0
Don't have one,1.0
I expected it to be a little on the small side. According to the size chart it would have been a 2 inch difference but this was like an 8 inch difference.  It so frustrating to buy online I never go by size always the chart to check inches but this one LIES!!!,1.0
Purchased this item on sale-received it and it had two huge holes on the side.not possible to repair. very disappointed in lack of quality control. :(,1.0
Super short on sides. Does not reach my waistline.,1.0
I up sized and they were still small. The material quality was not as stated!,1.0
See-through material. Need to return.,1.0
"I loved this dress and the color. i wanted to wear it to my niece's wedding. i usually wear a medium but couldn't get it on. the large was perfect in the top but too tight in the hips for a wedding even with spanks. the xl was perfect is the hips in that it didn't cut, but the top was huge. i really don't understand the sizing of this dress at all.",1.0
Weird fit. Returned.,1.0
"Yikes!  quite a smell off of this one- like wet/hot wool.  the color was beautiful, but the sweater is enormous!  strange fit under the arms as well.  this one went back the same day.",1.0
This is very large.  i normally am a s/m and i took this in an x.  it is a beautiful dress in color and fit but picks up any stain and i have had to have it dry cleaned after every use.,1.0
The snap and belt broke; other than that the pants are great.,1.0
The jeans are awesome looking but I can't wear them because they were improperly sown. The butt seem needs let out to fit around the waist. I've never experienced anything like this before so it's hard to explain. I'm stuck with pants I can't wear.,1.0
