,Review,Rating
0,"I'm worried about the quality of the shirt. it looks like it may snag easily. i've decided to keep it, so hopefully i will get some use out of it. in hindsight i would have not bought it when considering the price and quality of the shirt.",2.0
1,One wash wonder...i'm a s to m and went with a m but could have gone with a s with ease. after washing it was way shorter. it shrunk more than a whole size in cold water! i assumed everything came preshrunk but sadly disappointed. great for one wear.,3.0
2,nice but kinda too long n shrinks easily,4.0
3,"It took a long time to get, but it was worth it.  It is a fantastic product.  But it is advertised as suit separates, with no link on how to buy the pants.",3.0
4,"Wife’s review:Material is very soft, love the print and style of the dress, unfortunately fit too tight. 34D and 40 inch hips were too tight on size M dress. Have to return :(",3.0
5,"This dress was too cute to pass up! i loved it online but when i got it home, it was so tight i couldn't zip up my normal size. the length was perfect on me being 5'7"". the fabric and detail was beautiful. if you have a bust, order a size up. beautiful dress just really snug up top.",2.0
6,"My husband does lawn care and prefers thin, cool, waterproof pants. While this meets all those standards, they are literally see through and he cannot wear them.",4.0
7,"Loved this top on model. even happier when it went on sale. sort of boxy. but still excited, then within one day there was hole already in the thin tee fabric! disappointed. my other tees i purchased are fine.",3.0
8,"Bought these for my daughter in size XL. They did not fit. My daughter wears a youth XL in everything, including the Nike Vapor softball pants she's currently wearing.",2.0
9,Very cute everyday tee. usually run between an xs or small with retailer and was happy i chose the extra small. a great updated on a classic strip tee.,4.0
10,"This shirt fits much better than I expected. It laundered well, very few wrinkles, and the color doesn't fade.",5.0
11,I cant say I recommend it.,2.0
12,"The smallest size, xs, was big on me, i was overwhelmed by the sweater. it is a bit of swing shape, doesn't hug the body. sleeves are interesting though, but not flattering on a petite frame. color is a pretty green, made me think of wintergreens. fabric may be itchy to some. just ok for me.

for reference xs bog on 115 lbs, 30dd, 26.5 in waist.",3.0
