,Review,Rating,Review_clean,sentiment
0,If you're tiny it will be slightly too big,4,tiny slightly big,0.0
1,Hello shower curtain,2,hello shower curtain,0.0
2,PJS,3,pjs,0.0
3,Not the same quality as a regular suit,2,quality regular suit,0.0
4,"Says 2 pack, only one shirt was in the package.",2,say 2 pack shirt package,0.0
5,At your belt line,4,belt line,0.0
6,"Comfortable and flattering, but bad quality.",3,comfortable flattering bad quality,0.2732
7,90% cotton 10% polyester,2,90 cotton 10 polyester,0.0
8,Very hip,4,hip,0.0
9,Tissue thin liner tore on1st wearing. Additional button needed.,3,tissue thin liner tear on1st wear additional button need,0.0
10,Close to Perfect,5,close perfect,0.5719
11,Needs a belt,4,need belt,0.0
12,Supposed to be cropped???,2,suppose crop,0.0
13,Completely wonky,2,completely wonky,0.0
14,Nice Product,5,nice product,0.4215
15,Comfy & Sassy,4,comfy   sassy,0.0
16,It fits a little small,3,fit little small,0.3612
17,Perfect....for two wears,1,perfectfor wear,0.0
18,Not to fancy,4,fancy,0.0
19,WARNING THIS IS NOT COLUMBIA BRAND!!!,1,warn columbia brand,-0.1027
20,The brown/gray version is cropped,1,browngray version crop,0.0
21,Great Short at a Great Price!,5,great short great price,0.8481
22,Wow! Love this jacket,2,wow love jacket,0.8402
23,It was big and ugly and old looking and manly nothing Flattering about it at all,1,big ugly old looking manly flattering,-0.25
24,Will pass on these,2,pass,0.0
25,"Nice fabric but runs small, ugly collar",1,nice fabric run small ugly collar,-0.128
26,Disapppointed,3,disapppointe,0.0
27,Horrific Smell,1,horrific smell,-0.6597
28,Can't stop wearing it,4,not stop wear,0.2235
29,Not as described.,1,describe,0.0
30,Nice shirt but weird neck,3,nice shirt weird neck,0.2732
31,WOW,5,wow,0.5859
32,Extremely sheer!,2,extremely sheer,0.0
33,"Beautiful color, frumpy fit",2,beautiful color frumpy fit,0.7506
34,Not skinny at all,1,skinny,0.0
35,Peasant dress,5,peasant dress,0.0
36,Not blazer material more like sun dress material,2,blazer material like sun dress material,0.3612
37,For a specific person,3,specific person,0.0
38,Great travel pants,5,great travel pant,0.6249
39,Gorgeous but tent like,4,gorgeous tent like,0.7579
40,Very Thin Fabric!,2,thin fabric,0.0
41,"Comfy, but sometimes defective.",3,comfy defective,-0.4404
42,Oversized and does not drape well,1,oversized drape,0.0
43,"Odd, boxy fit",3,odd boxy fit,0.0516
44,Cute styling but...,1,cute styling,0.4588
45,Funky seams,3,funky seam,-0.1027
46,"Shirt is light grey,  not black or dark grey",2,shirt light grey   black dark grey,0.1027
47,Me encanta,5,encanta,0.0
48,It’s plastic feeling.,3,plastic feeling,0.128
49,Bought for hubby to go with the pants,5,buy hubby pant,0.0
50,Buena calidad!,5,buena calidad,0.0
51,NOT A GOOD BUY,1,good buy,0.4404
52,Too thin.,2,thin,0.0
53,The arms are way to baggy and long,1,arm way baggy long,0.0
54,Fall boho,5,fall boho,0.0
55,Voluminous eye catching dress,4,voluminous eye catch dress,0.0
56,Elegant boho chic!,5,elegant boho chic,0.6369
57,Way way too short!,1,way way short,0.0
58,Works for me,5,work,0.0
59,Very great suit,5,great suit,0.6249
60,"Love the colors, not a fan of the side slit",3,love color fan slit,0.7579
61,Lovely but not a fit for me :(,4,lovely fit,0.743
62,Still love it even if...,4,love,0.6369
63,Not as nice in person,3,nice person,0.4215
64,White bike shorts,3,white bike short,0.0
65,I got it for my elderly mom.  She did not want to tell me.,1,get elderly mom   want tell,0.0772
66,Truly beautiful dress,5,truly beautiful dress,0.7783
67,Looks and feels cheap,1,look feel cheap,0.0
68,"Super-thin fabric, but really pretty",4,superthin fabric pretty,0.4939
69,Mod perfect,5,mod perfect,0.5719
70,Pants are not made right around waste,2,pant right waste,-0.4215
71,Fabric Is Thinner than Expected,3,fabric thin expect,0.0
72,Lovely dress and fit,5,lovely dress fit,0.743
73,Happy Customer,5,happy customer,0.5719
74,Slim fitting,5,slim fitting,0.0
75,Gave me a wedgie,1,give wedgie,0.0
76,Inner layer is too snug,3,inner layer snug,0.0
77,Light and thin.,4,light thin,0.0
78,Greek goddess-style not for all!,1,greek goddessstyle,0.0
79,Simple and nice,5,simple nice,0.4215
80,Runs very small and material is not good,1,run small material good,0.4404
81,Unshapely,3,unshapely,0.0
82,Leaves stains on sheets,2,leave stain sheet,-0.0516
83,comfort shorts for men,5,comfort short man,0.3612
84,Heavy and unflattering,2,heavy unflattering,0.0
85,Green Dress,5,green dress,0.0
86,Nice Flowing Polo,5,nice flow polo,0.4215
87,Soccer pants,5,soccer pant,0.0
88,Not worth the time to purchase:,1,worth time purchase,0.2263
89,Not for slim hips,4,slim hip,0.0
90,A nice transition top,4,nice transition,0.4215
91,Great top- bottoms run super small - order up,4,great bottom run super small   order,0.8402
92,Stitching came undone and they fell apart,1,stitch come undo fall apart,0.0
93,Fit is weird for me,3,fit weird,0.2023
94,Elegant and comfortable!,5,elegant comfortable,0.7506
95,Soft and comfortable while dressing up or down,5,soft comfortable dress,0.5106
96,It arrived sewed wrongly in the left arm.,1,arrive sew wrongly left arm,0.0
97,Comfortable brilliantly colored tank,4,comfortable brilliantly colored tank,0.8074
98,Beautiful dress--if you can figure out your size!,4,beautiful dressif figure size,0.5994
99,Pretty good for $14,4,pretty good 14,0.7269
100,"Beautiful color and tweed design, strange fit",3,beautiful color tweed design strange fit,0.6808
101,Not as perscribed,2,perscribe,0.0
102,lowest quiality levis EVER,2,low quiality levis,-0.2732
103,I doubt that this is a real one from nike,1,doubt real nike,-0.3612
104,Ok!,4,ok,0.296
105,Great pajama set at a good price,5,great pajama set good price,0.7906
106,"Great light coat, poorly made",3,great light coat poorly,0.6249
107,Wrinkles slightly,4,wrinkles slightly,0.0
108,Different Color Different Size,1,different color different size,0.0
109,It's item I got is described as bought and I'm happy with my purchase. Thank you,5,item get describe buy m happy purchase thank,0.7351
110,Smelled Bad,2,smell bad,-0.5423
111,Great swing dress ... but not for me,4,great swing dress  ,0.6249
112,I feel so betrayed...,2,feel betray,-0.6369
113,I will send it back,3,send,0.0
114,"Ripped in less than 3 months, what a joke",1,rip 3 month joke,0.296
115,Super cute but disappointing,2,super cute disappointing,0.5719
116,"Med was tight, LG is really big",4,me tight lg big,0.0
117,Bottoms felt like a bigger size than the top.,3,bottom feel like big size,0.3612
118,Best Pair of Jeans!!!,5,well pair jean,0.2732
119,Awful if you have any sort of curves!,2,awful sort curve,-0.4588
120,Too short for my liking,4,short liking,0.4019
121,buttons just don't work!,2,button not work,0.0
122,Fell short,4,fall short,0.0
123,"Didn’t receive what was pictured, kind of a bummer.",2,not receive picture kind bummer,-0.6571
124,Incredibly nice suit for the money!,5,incredibly nice suit money,0.4754
125,they say 'women's but they are more like 'Unisex'... not clear....,2,women like unisex clear,0.6249
126,"Lovely cut, fit & length",5,lovely cut fit   length,0.6369
127,Very thin.,2,thin,0.0
128,BEWARE!!!,1,beware,0.0
129,"Look like ""mom jeans""",3,look like mom jean,0.3612
130,A bit short,4,bit short,0.0
131,Soft. Silky.,5,soft silky,0.0
132,Stains easily,3,stain easily,0.34
133,Front pocket has open into your body!!,2,pocket open body,0.0
134,Do not buy cheap fabric,1,buy cheap fabric,0.0
135,SO MANY HOLES,1,hole,0.0
136,"Nice, has flaws.",3,nice flaw,0.4215
137,Better with a belt!,4,well belt,0.2732
138,Bummer...,3,bummer,-0.3818
139,Quality of material,1,quality material,0.0
140,Great shorts but short lived,3,great short short live,0.6249
141,Not as bad as previously reviewed,4,bad previously review,-0.5423
142,Looks better online runs small,4,look well online run small,0.2732
143,Great material for the price. Just not flattering on curvy shape,3,great material price flattering curvy shape,0.7506
144,Wish they were an inch or two longer,4,wish inch long,0.4019
145,Updated white shirt,4,update white shirt,0.0
146,It’s not exactly as it’s pictured,2,exactly picture,0.0
147,"Beautiful color, unflattering fit",3,beautiful color unflattering fit,0.7506
148,comfort but......,3,comfort,0.3612
149,Order a size or two up. Not true to size,2,order size true size,0.4215
150,Perfect for mediterenian summer,4,perfect mediterenian summer,0.5719
151,Can be flattering,4,flattering,0.3182
152,The perfect complement to the shorts,5,perfect complement short,0.5719
153,"Not what I expected, it’s just a plain rough knit",1,expect plain rough knit,0.0
154,"Big, oversized sweater",2,big oversized sweater,0.0
155,FIT LIKE A GLOVE,4,fit like glove,0.6124
156,"Felt cheap, not like retailer",2,feel cheap like retailer,0.3612
157,Failed to read vest polyester shearling-lined,3,fail read vest polyester shearlingline,-0.5423
158,"So the pants themselves are amazing, I have a major issue though…",2,pant amazing major issue,0.5859
159,Cute but a bit too long,2,cute bit long,0.4588
160,Love it but.....,3,love,0.6369
161,Nice cardigan but not good stitches.,2,nice cardigan good stitch,0.6908
162,Good fit good feel,4,good fit good feel,0.8074
163,More gorgeous than functional,3,gorgeous functional,0.6124
164,Run and buy.....,5,run buy,0.0
165,good quality but size is off,3,good quality size,0.4404
166,NOT WRANGLER WILLOW JEANS,1,wrangl willow jean,0.0
167,Doesn’t look like the picture,1,not look like picture,-0.2755
168,Another example of retailer quality going downhill..,1,example retailer quality go downhill,0.0
169,"Fells good, nice fit",5,fell good nice fit,0.802
170,These are thick and hot,3,thick hot,0.0
171,Extremely awkward,1,extremely awkward,-0.2247
172,Lovely lace design but sheer,4,lovely lace design sheer,0.5859
173,Comfort with style,4,comfort style,0.3612
174,Not enough stretch,3,stretch,0.0
175,"Cute on the model, but not in person",3,cute model person,0.4588
176,:my favorite brand and style!,5,favorite brand style,0.4588
177,Poor fit and poor quality,1,poor fit poor quality,-0.5719
178,Does not fit as expected,2,fit expect,0.3612
179,Color not as pictured on website,2,color picture website,0.0
180,Shrunk with first wash and now to short to wear,1,shrink wash short wear,0.0
181,MY FAVORITE SWEATER,5,favorite sweater,0.4588
182,It was too short.,2,short,0.0
183,Meet me at the museum!,5,meet museum,0.0
184,Large with no shape,2,large shape,0.0
185,I’m pleased with this product,4,m pleased product,0.4404
186,Love it but had hole in private area,3,love hole private area,0.6369
187,"Wanted to love it, and MOSTLY do...",4,want love,0.6705
188,Looks nice on,5,look nice,0.4215
189,Lovely concept,3,lovely concept,0.5859
190,Too big and full of wrinkles,1,big wrinkle,0.0
191,I love them I got a medium 5'8 154,5,love get medium 58 154,0.6369
192,Runs small and not comfortable.,2,run small comfortable,0.5106
193,good purchase,5,good purchase,0.4404
194,TOO BIG AND NO RETURN,1,big return,0.0
195,The quality I did not like,2,quality like,0.3612
196,"Great print, awkward cut",3,great print awkward cut,0.34
197,Great casual pants,5,great casual pant,0.7096
198,"Cute dress, too small",3,cute dress small,0.4588
199,This is a great blouse,5,great blouse,0.6249
200,Where are the sleeves?,2,sleeve,0.0
201,Don’t Buy,1,not buy,0.0
202,Gorgeous print poor fit,3,gorgeous print poor fit,0.5267
203,Amazingly amazing,5,amazingly amazing,0.624
204,This color of Dockers is undersized (1 size) to others same style.,1,color docker undersized 1 size style,0.0
205,One the fence,3,fence,0.0
206,I bought these jeans for my husband. He loves them!! ❤,4,buy jean husband love,0.6369
207,Just OK,3,ok,0.296
208,Sent wrong item,1,send wrong item,-0.4767
209,Nice but cheap material,3,nice cheap material,0.4215
210,Great sweater for summer- keeps your arms comfortable in air conditioning.,5,great sweater summer keep arm comfortable air conditioning,0.8126
211,"Too big, even tho is Small",4,big tho small,0.0
212,SOFT AND WASHES WELL,4,soft wash,0.0
213,Did not receive Bow tie,1,receive bow tie,0.0
214,Shrunk. Badly,2,shrunk badly,-0.4767
215,"DO NOT BUY YOUR USUAL SIZE, BUY LARGER",1,buy usual size buy large,0.0
216,Runs Large and is Thick Fabric,4,run large thick fabric,0.0
217,Kind of calssic retailer,4,kind calssic retailer,0.5267
218,"Strange cut, pretty idea",4,strange cut pretty idea,0.0772
219,"Very comfortable, looks nice.",5,comfortable look nice,0.7269
220,Comfortable go-to shirt!,4,comfortable goto shirt,0.5106
221,Tts but smaller than the pilcro high rises,4,tts small pilcro high rise,0.0
222,Elysian maxi dress,1,elysian maxi dress,0.0
223,The black color one is too small,3,black color small,0.0
224,The sizes don't match the chart.,1,size not match chart,0.0
225,If I could’ve felt the product I went about it,2,ve feel product go,0.0
226,Loved them until they started falling off and taking my panties with them,1,love start fall take pantie,0.6369
227,A Little Big but Easily Adjustable,4,little big easily adjustable,0.2782
228,"I absolutely love the feeling of the pants... not too heavy, just right.",5,absolutely love feeling pant heavy right,0.7408
229,Shrinks!,2,shrink,0.0
230,"Really thick, quality top. very swingy bottom",3,thick quality swingy,0.0
231,Clown Pants,3,clown pant,0.0
232,Too big with very odd arms,2,big odd arm,-0.3182
233,Certainly lovely,4,certainly lovely,0.7351
234,"Sent back, tight chest",2,send tight chest,0.0
235,2 stars,2,2 star,0.0
236,"Material to thin, unflattering cut",3,material thin unflattering cut,-0.2732
237,good quaility,5,good quaility,0.4404
238,Used only for stay at home,4,stay home,0.0
239,Garbage,1,garbage,0.0
240,Decent dress,4,decent dress,0.0
241,Very pleased!,5,pleased,0.4404
242,Should have looked more closely at description...,3,look closely description,0.0
243,Small cup sizes for frame,2,small cup size frame,0.0
244,Full skirt,3,skirt,0.0
245,Way too tight. Not true to size,3,way tight true size,0.4215
246,Beyond cute,4,cute,0.4588
247,Fun & easy shorts!,5,fun   easy short,0.7351
248,Go buy a pair of these now!,5,buy pair,0.0
249,Extra sleeves?,2,extra sleeve,0.0
250,Slightly more modern take on preppy,4,slightly modern preppy,0.0
