,Review,Rating,Review_clean,sentiment
0,Some major design flaws,3,major design flaw,0.0
1,My favorite buy!,5,favorite buy,0.4588
2,Flattering shirt,5,flattering shirt,0.3182
3,Not for the very petite,2,petite,0.0
4,Cagrcoal shimmer fun,5,cagrcoal shimmer fun,0.5106
5,"Shimmer, surprisingly goes with lots",4,shimmer surprisingly go lot,0.296
6,Such a fun dress!,5,fun dress,0.5106
7,Dress looks like it's made of cheap material,3,dress look like cheap material,0.3612
8,Perfect!!!,5,perfect,0.5719
9,Pretty party dress with some issues,3,pretty party dress issue,0.7096
10,"Nice, but not for my body",4,nice body,0.4215
11,"You need to be at least average height, or taller",3,need average height tall,0.0
12,Looks great with white pants,5,look great white pant,0.6249
13,Super cute and cozy,5,super cute cozy,0.7845
14,"Cute, crisp shirt",4,cute crisp shirt,0.4588
15,I'm torn!,4,m tear,0.0
16,Not what it looks like,2,look like,0.3612
17,"Like it, but don't love it.",3,like not love,-0.2187
18,Falls flat,3,fall flat,0.0
19,Huge disappointment,2,huge disappointment,-0.25
20,"Loved, but returned",4,love return,0.6369
21,Great shirt!!!,5,great shirt,0.6249
22,Great layering piece,5,great layering piece,0.6249
23,Cuter in oerson!,5,cut oerson,-0.2732
24,Mehh,2,mehh,0.0
25,Beautifully cut lightweight coat,5,beautifully cut lightweight coat,0.3818
26,Soft & lovely,5,soft   lovely,0.5859
27,Some things you should know...,4,thing know,0.0
28,Love the two tone design,4,love tone design,0.6369
29,Love the embroidery!,5,love embroidery,0.6369
30,Flattering and comfortable,5,flattering comfortable,0.6808
31,Soft and cute as can be!,5,soft cute,0.4588
32,"Boring front, great back",3,bore great,0.4767
33,Itchy tags,1,itchy tag,-0.2732
35,Cute top! love the brand,5,cute love brand,0.802
36,Super cute and unique top,4,super cute unique,0.7845
37,I wanted to love this top...,2,want love,0.6705
38,Great summer fabric!,3,great summer fabric,0.6249
39,"Cute, but massive sweep",4,cute massive sweep,0.4588
40,Short and boxy,2,short boxy,0.0
41,Very very cute but a lot of fabric,5,cute lot fabric,0.4588
42,Runs large in top and waist,4,run large waist,0.0
43,Obsessed,5,obsess,-0.25
44,So cute...but dry clean?!,4,cutebut dry clean,0.4019
45,Elegant classic dress,5,elegant classic dress,0.4767
46,Cute parka!,5,cute parka,0.4588
47,Just lovely,5,lovely,0.5859
48,Casual & unique tee,3,casual   unique tee,0.2023
49,Neutral blue,4,neutral blue,0.0
50,True to size to large,4,true size large,0.4215
51,"Pretty, but not for me...",4,pretty,0.4939
52,Sweet flattering dress,4,sweet flattering dress,0.6486
53,"Beautifully made, but not versatile",4,beautifully versatile,0.5719
54,"Simple, stylish, lovely-runs a bit big",4,simple stylish lovelyrun bit big,0.0
55,Stunning lace top,5,stunning lace,0.3818
56,Excited ... but ...,5,excited  ,0.34
57,Beautiful shirt but runs small!,4,beautiful shirt run small,0.5994
58,Perfect fall shirt!,5,perfect fall shirt,0.5719
60,"Beautiful, stunning, cozy top!",5,beautiful stunning cozy,0.7579
61,Very vintage feel,4,vintage feel,0.0
62,Awkward fitting,2,awkward fit,0.2263
63,Cozy casual - perfect for fall,5,cozy casual   perfect fall,0.6705
64,The perfect striped t,5,perfect striped t,0.5719
65,So beautiful! gorgeous orange color!,5,beautiful gorgeous orange color,0.836
