,Review,Rating,Review_Length
0,want look size,4,30
2,prob good curvy,3,25
3,beautiful fall apart,2,25
4,small arm large body,2,25
5,beautiful usual fit,4,26
6,big,3,8
7,hole wear 5 time,2,24
8,great tunic dress,4,17
9,beautiful run small,3,25
10,right,5,16
11,decide,4,14
12,hot worn,2,19
13,exactly slim,2,16
14,perfect paris,5,16
15,bring greygray,4,32
16,inconsistent way,3,31
17,miss item,1,13
18,absolutely perfect,4,21
19,smell awful,1,15
20,stretch lot,1,22
21,breezy   comfy,5,14
22,make look fat,2,17
23,not buy,1,15
24,material expect,2,31
25,nonexistent waistband,1,22
26,fit okay,3,13
27,terrible buy,1,12
28,order multiple,4,18
29,mislead image,1,17
30,good uniqlo,3,21
31,good pant ve own,5,26
32,muy delgada abriga bien,2,26
33,real levis,2,15
34,poor quality,1,13
35,great quality jean,5,19
36,d pay property taxis buy,2,48
37,totally sheer,3,13
38,comfy good quality,5,20
39,elegant   beautiful topgreat fit,4,38
40,pant big thread come pant coat right,2,75
41,lovely annoying,3,25
42,poor qualitydont buy,1,22
43,run little small,3,20
44,slim husky   oxymoron,1,24
45,white need line,3,18
46,rain jacket hot,2,23
47,great pullover,5,15
48,boxy navy color look dark picture,3,43
49,buy,5,16
50,great occasion,5,24
51,que llaman ante de entregar,1,28
52,way long,2,24
53,jacket size wrong,1,19
54,light lovely,5,21
55,great different fall sweater,4,28
56,nice buy,5,24
57,design flaw,1,11
58,minute purchase,5,20
59,good,5,10
60,live shirt pack size vary,3,55
61,beautiful color,4,36
62,beautiful,4,11
63,black shirt not soft grey blue dark show,3,79
64,not fit length think 2x,3,57
65,way small,1,14
66,exactly want,5,22
67,small 8 year old,1,25
68,extra,4,13
69,ver comfortable,5,15
70,expect,2,22
71,ride dowdy line,3,21
72,wonderful style feature durable spf shirt size run large,5,65
73,love soft pant,5,19
74,adorable pant think run small,5,42
75,send wrong size,1,26
76,good staple   wardrobe,3,28
77,big tho small,4,26
78,whoa vanity sizing,1,19
79,like little black dress dickie classic,5,49
80,delicate,1,12
81,beautiful tall,3,31
82,sweater,2,16
83,pretty pleasing,5,15
84,nice concept disappointing reality,2,36
85,comfortability,5,14
86,great quality material fit size,5,40
87,buy whim end love,5,40
88,circus tent,1,11
89,pro con,4,13
90,cotton,4,6
91,large,4,15
92,color imagine,1,30
93,favorite,3,15
94,super comfy flattering figure,5,45
95,fit right,5,14
96,sleeve narrow,1,23
97,cute color,4,10
98,nice boxy shirt pretty button,4,31
99,picture appear 2 piece,4,45
100,huge,3,19
101,low big armhole,2,30
102,black stripe bleed white,2,29
103,beautiful dress tight arm,1,37
104,wonky fit,4,16
105,gorgeous slim suit,5,18
106,stretch waist band,3,21
107,beautiful run big,4,19
108,think large,1,27
109,order oversize,5,22
110,size,2,13
111,comfortable soft,4,17
112,sheer,2,10
113,good m pretty sure send washed return item,3,63
114,look nice smell horrible,1,27
115,big size round drawstre instead flat,2,54
116,comfortable pajama fit right short short,4,75
117,murky color refined jacket,3,34
118,flexible use,5,12
119,small xl,2,15
120,look great easy wear,4,36
121,pass,2,14
122,impressed,4,20
123,delightful different get dirty asap,2,38
124,well expect,5,24
125,blazer,2,20
126,perfect jacket,5,19
127,fade itchy handwashing hypoallergenic detergent,2,80
128,short waiste,1,18
129,good great,3,18
130,stitch come apart use,4,33
131,comfy versatile,5,23
132,beautiful delicate,3,22
133,disappoint quality run small,2,38
134,smell,1,5
135,mr blue jean,1,13
136,small thin,3,18
137,beautiful dress,4,21
138,quarter zip,3,11
139,not wear picture,1,25
140,sheer form fit,3,34
141,odd proportion,4,15
142,extra layer winter,4,22
143,cute dress perfect summer party,3,50
144,pretty sure batch get backwards,4,43
145,flattering fit zipper stick,4,27
146,sweatshirt nice not shape,2,50
147,fit wear 4 month,3,27
148,comfortable camisole,3,20
149,bafflingly poor quality,2,23
150,lovely late summerearly fall,4,33
151,warn average height,4,36
152,good lightweight hoodie,5,24
153,size fit,1,12
154,want like itbut,2,33
155,cozy cute,4,13
156,cute pattern design not flattering,2,41
157,usual retailer quality,3,31
158,gilden remember,2,26
159,oh dearwhere dress pregnant,2,50
160,cute pant lose shape quickly,3,38
161,slim stylish,2,16
162,flattering run small,4,25
163,big,3,14
164,comfortable,5,12
165,glance,3,22
166,cotton   rayan linen,1,34
167,short short write tunic dress,1,46
168,item order,1,30
169,great fit comfortable,5,22
170,cutebut odd color,3,22
171,verona fabric content incorrect amazon description,1,55
172,fail notice peplum,4,27
173,cute,4,8
174,buy pinkpurple color,3,35
175,nice jacket   heavy list weight,3,44
176,lightweight pocket dry quickly,5,44
177,damage,1,7
178,short waiste fit small,2,25
179,shirt shrink size,2,30
180,abnormally large armhole,1,25
181,beautiful run small,5,24
182,not like,2,11
184,big armhole,2,15
185,love rib fabric,4,22
186,broadshouldered,3,28
187,order wide hip,4,22
188,true size reversible,5,27
189,sleeve tight waist tight,3,36
190,color transfer skin,1,28
191,mustard yellow website picture,5,48
192,fabric develop yellowish stain week,2,51
193,love,5,10
194,weird fitting,1,13
195,cheap fabric,2,17
196,cute soft,3,13
197,cute,5,14
198,pretty dress pear shape,3,36
199,good levi model ve buy,5,32
200,beautiful   pregnant twin,2,42
201,vieque shift,1,13
202,foamy material,3,14
203,fit blazerpackage open,5,28
204,cheaply,1,13
205,not fit,3,11
206,little short,4,12
207,large lace kinda coarse,3,32
208,return,1,15
209,pretty black pass ivory,3,41
210,european flair,5,14
211,definitely ivory,4,16
212,obsess wag stevie,4,21
213,bought try till week not like return,1,62
214,black,2,9
215,massive neck,1,12
216,keeper,4,25
217,nice fit summer fabric,4,32
218,zipper short,4,15
219,ruffle daisy sleep,5,23
221,like worth price,4,33
222,dress cheaply send disappointed,1,68
223,great shape stiff fabric,3,24
224,long leg short crotch,1,24
225,not 3 piece package coat pant m disappointed,2,97
226,disappointed,1,16
227,run big,4,8
228,basic short cute pattern,5,27
229,collar t shirt,2,14
230,ruffle cute,3,18
231,pretty skirt long,3,26
232,button fall 24 hour,2,32
233,kentucky derby dress,4,20
234,orange color pretty quality poor,2,39
235,sheer short show,2,33
236,nice dress,3,20
237,bright sweater gray day,5,29
238,comfortable soft flattering lounge pant,4,42
239,item stink,1,11
240,pretty ivory tank,4,17
241,nice fabric fit,5,24
242,good deal cotton,3,31
243,miss white piping detail   show photo,2,51
244,thank,3,12
245,grandma like,3,31
246,cute material hot polyester,4,47
247,perfect fit short,5,18
248,flatter comfortable sexy,5,45
249,great topbut quality issue,2,30
250,love dress not fit right,4,39
251,adorable poor fit,3,21
252,cheap material,1,15
253,cute poor quality,4,25
254,color run wash,2,22
