Review,Rating,Review_clean,sentiment
"If you have any ""bust"" not for you!",2,bust,0.0
"Pretty, delicate top",4,pretty delicate,0.5267
"Great shorts, but….",4,great short,0.6249
"Soft, feminine and flowey",4,soft feminine flowey,0.0
Transitional,4,transitional,0.0
"Recommend, reservedly",4,recommend reservedly,0.3612
Needs better knee reinforcement,3,need well knee reinforcement,0.2732
The perfect pajama for winter.,5,perfect pajama winter,0.5719
Sharp looking sweater until after one wash,3,sharp look sweater wash,0.0
"Love the color, comfortable to wear",5,love color comfortable wear,0.8176
A good value with some iisues,4,good value iisue,0.6486
Cannot be washed!,1,wash,0.0
Easy and comfortable,4,easy comfortable,0.7351
Good suit.  Cut slim,4,good suit   cut slim,0.2023
Fabric burs after 1 week,1,fabric bur 1 week,0.0
Purchase,1,purchase,0.0
Curves: yes,5,curve yes,0.4019
More of a cover up,2,cover,0.0
Not a premium shirt,2,premium shirt,0.0
The fabric is aweful,1,fabric aweful,0.0
Love stevies,4,love stevie,0.6369
Really liked them until they ripped in the crotch after 4 months!,2,like rip crotch 4 month,0.3612
Comfortable - needs to be tucked in as in the picture to look good.,4,comfortable   need tuck picture look good,0.7351
Nice material and fits nice,4,nice material fit nice,0.7964
This top is versatile.,5,versatile,0.0
Perfect white tank,4,perfect white tank,0.5719
Soft but color not quite like pictured,3,soft color like picture,0.3612
Shorter than you think,3,short think,0.0
Quarter Zip,3,quarter zip,0.0
i like em but the size....,2,like em size,0.3612
Funky fun flares,5,funky fun flare,0.4404
Into the west,5,west,0.0
Ran a little big good quality,4,run little big good quality,0.3862
Quirky and pretty,5,quirky pretty,0.4939
Husband loved them,5,husband love,0.6369
Great fit but too long for petite!,4,great fit long petite,0.765
Great weekend piece,4,great weekend piece,0.6249
Sent straight back,1,send straight,0.2263
Great for warm weather.,4,great warm weather,0.7184
Somewhat satisfied,3,somewhat satisfied,0.3626
Looked cheap,1,look cheap,0.0
Not The Correct Color,1,correct color,0.0
Weird back,3,weird,-0.1779
Men Lee jeans,1,man lee jean,0.0
RUNS SMALL,3,run small,0.0
Second one!,5,second,0.0
Sexy comfort!,4,sexy comfort,0.7096
"Feels nice, good quality",4,feel nice good quality,0.6908
they shrink,1,shrink,0.0
Fit is nice. Material is a bit odd,4,fit nice material bit odd,0.4588
disappointed,2,disappoint,-0.4019
Beautiful yet runs large,4,beautiful run large,0.5994
No le quedó bien,2,le quedó bien,0.0
Worn once and it pilled like crazy!,1,wear pille like crazy,0.0258
Worn them twice,3,wear twice,0.0
Super cute with right body style,3,super cute right body style,0.7845
Too many shortcuts for this price point. So close...,2,shortcut price point close,0.0
The color green is not as pictured,2,color green picture,0.0
Strange shirt,3,strange shirt,-0.2023
"Wonderfully made, poorly designed for busty gals",3,wonderfully poorly design busty gal,0.5994
The Fit is awesome,5,fit awesome,0.765
This top runs very large,3,run large,0.0
"SCAM!!! This dress is real, but the seller isn't!",1,scam dress real seller not,-0.5719
Perfect for party,4,perfect party,0.7506
Drawstring midi dress,4,drawstre midi dress,0.0
I use and abuse these shirts,3,use abuse shirt,-0.6369
Satisfied with the prouct. Going to order a few more to have them in alternative colors.,4,satisfied prouct go order alternative color,0.4215
Loved the dress worked great for a beach wedding guest,5,love dress work great beach wedding guest,0.8519
Fantastic fit as expected and NOT SEE THROUGH!,5,fantastic fit expect,0.7269
Mucho too big-o,3,mucho bigo,0.0
Very femenine and pretty!,4,femenine pretty,0.4939
